Node Number	Equivalent Elastic Strain (mm/mm)
1	4,271e-003
2	4,2556e-003
3	4,2556e-003
4	4,271e-003
5	4,3809e-003
6	4,3649e-003
7	4,3649e-003
8	4,3809e-003
9	9,8693e-004
10	9,9102e-004
11	9,9102e-004
12	9,8693e-004
13	4,9007e-003
14	4,8943e-003
15	4,8943e-003
16	4,9007e-003
17	5,828e-003
18	5,7981e-003
19	5,7981e-003
20	5,828e-003
21	2,3204e-003
22	2,3204e-003
23	2,3204e-003
24	2,3204e-003
25	2,3287e-003
26	2,3286e-003
27	2,3286e-003
28	2,3287e-003
29	2,2769e-003
30	2,2769e-003
31	2,2769e-003
32	2,2769e-003
33	2,2774e-003
34	2,2774e-003
35	2,2774e-003
36	2,2774e-003
37	3,4255e-003
38	3,4219e-003
39	3,4219e-003
40	3,4255e-003
41	3,3704e-003
42	3,3669e-003
43	3,3669e-003
44	3,3704e-003
45	2,7468e-003
46	2,7449e-003
47	2,7449e-003
48	2,7468e-003
49	2,6894e-003
50	2,6877e-003
51	2,6877e-003
52	2,6894e-003
53	5,3891e-003
54	5,2834e-003
55	5,2834e-003
56	5,3891e-003
57	6,4665e-003
58	6,5326e-003
59	6,5326e-003
60	6,4665e-003
61	2,8066e-003
62	2,8047e-003
63	2,8047e-003
64	2,8066e-003
65	3,0397e-003
66	3,0365e-003
67	3,0365e-003
68	3,0397e-003
69	2,4332e-003
70	2,4328e-003
71	2,4328e-003
72	2,4332e-003
73	3,3526e-003
74	3,3469e-003
75	3,3469e-003
76	3,3526e-003
77	8,6288e-003
78	8,7083e-003
79	8,7083e-003
80	8,6288e-003
81	2,6752e-003
82	2,6734e-003
83	2,6734e-003
84	2,6752e-003
85	2,8153e-003
86	2,8133e-003
87	2,8133e-003
88	2,8153e-003
89	3,842e-003
90	3,8312e-003
91	3,8312e-003
92	3,842e-003
93	4,2412e-003
94	4,2262e-003
95	4,2262e-003
96	4,2412e-003
97	2,8687e-003
98	2,8665e-003
99	2,8665e-003
100	2,8687e-003
101	3,8422e-003
102	3,8323e-003
103	3,8323e-003
104	3,8422e-003
105	8,5074e-003
106	7,9673e-003
107	7,9673e-003
108	8,5074e-003
109	4,4045e-003
110	4,3937e-003
111	4,3937e-003
112	4,4045e-003
113	1,8731e-003
114	1,8827e-003
115	1,8827e-003
116	1,8731e-003
117	5,752e-003
118	5,6678e-003
119	5,6678e-003
120	5,752e-003
121	2,8112e-003
122	2,8093e-003
123	2,8093e-003
124	2,8112e-003
125	2,7998e-003
126	2,7979e-003
127	2,7979e-003
128	2,7998e-003
129	2,8157e-003
130	2,8138e-003
131	2,8138e-003
132	2,8157e-003
133	2,8028e-003
134	2,8009e-003
135	2,8009e-003
136	2,8028e-003
137	2,8136e-003
138	2,8118e-003
139	2,8118e-003
140	2,8136e-003
141	2,7812e-003
142	2,7794e-003
143	2,7794e-003
144	2,7812e-003
145	2,8217e-003
146	2,8197e-003
147	2,8197e-003
148	2,8217e-003
149	2,8001e-003
150	2,7982e-003
151	2,7982e-003
152	2,8001e-003
153	2,7992e-003
154	2,7974e-003
155	2,7974e-003
156	2,7992e-003
157	2,8283e-003
158	2,8263e-003
159	2,8263e-003
160	2,8283e-003
161	2,6642e-003
162	2,6629e-003
163	2,6629e-003
164	2,6642e-003
165	2,8247e-003
166	2,8227e-003
167	2,8227e-003
168	2,8247e-003
169	2,816e-003
170	2,8141e-003
171	2,8141e-003
172	2,816e-003
173	2,8037e-003
174	2,8019e-003
175	2,8019e-003
176	2,8037e-003
177	2,7491e-003
178	2,7474e-003
179	2,7474e-003
180	2,7491e-003
181	2,7799e-003
182	2,7782e-003
183	2,7782e-003
184	2,7799e-003
185	2,7186e-003
186	2,7171e-003
187	2,7171e-003
188	2,7186e-003
189	2,7617e-003
190	2,76e-003
191	2,76e-003
192	2,7617e-003
193	2,7608e-003
194	2,7591e-003
195	2,7591e-003
196	2,7608e-003
197	2,8361e-003
198	2,8341e-003
199	2,8341e-003
200	2,8361e-003
201	2,7967e-003
202	2,7948e-003
203	2,7948e-003
204	2,7967e-003
205	2,641e-003
206	2,6397e-003
207	2,6397e-003
208	2,641e-003
209	2,8431e-003
210	2,8411e-003
211	2,8411e-003
212	2,8431e-003
213	2,8023e-003
214	2,8004e-003
215	2,8004e-003
216	2,8023e-003
217	2,8971e-003
218	2,8948e-003
219	2,8948e-003
220	2,8971e-003
221	2,8344e-003
222	2,8324e-003
223	2,8324e-003
224	2,8344e-003
225	2,7882e-003
226	2,7864e-003
227	2,7864e-003
228	2,7882e-003
229	2,8248e-003
230	2,8228e-003
231	2,8228e-003
232	2,8248e-003
233	2,8173e-003
234	2,8154e-003
235	2,8154e-003
236	2,8173e-003
237	2,8025e-003
238	2,8006e-003
239	2,8006e-003
240	2,8025e-003
241	2,8366e-003
242	2,8346e-003
243	2,8346e-003
244	2,8366e-003
245	2,8502e-003
246	2,8482e-003
247	2,8482e-003
248	2,8502e-003
249	2,8765e-003
250	2,8743e-003
251	2,8743e-003
252	2,8765e-003
253	2,8879e-003
254	2,8856e-003
255	2,8856e-003
256	2,8879e-003
257	2,731e-003
258	2,7294e-003
259	2,7294e-003
260	2,731e-003
261	2,7698e-003
262	2,7681e-003
263	2,7681e-003
264	2,7698e-003
265	2,6861e-003
266	2,6847e-003
267	2,6847e-003
268	2,6861e-003
269	2,7007e-003
270	2,6992e-003
271	2,6992e-003
272	2,7007e-003
273	2,7511e-003
274	2,7494e-003
275	2,7494e-003
276	2,7511e-003
277	2,6403e-003
278	2,6391e-003
279	2,6391e-003
280	2,6403e-003
281	2,5834e-003
282	2,5825e-003
283	2,5825e-003
284	2,5834e-003
285	2,7519e-003
286	2,7502e-003
287	2,7502e-003
288	2,7519e-003
289	2,7001e-003
290	2,6986e-003
291	2,6986e-003
292	2,7001e-003
