Node Number	Equivalent (von-Mises) Stress (MPa)
1	12,813
2	12,767
3	12,767
4	12,813
5	13,143
6	13,095
7	13,095
8	13,143
9	2,9572
10	2,9701
11	2,9701
12	2,9572
13	14,702
14	14,683
15	14,683
16	14,702
17	17,484
18	17,394
19	17,394
20	17,484
21	6,9611
22	6,9611
23	6,9611
24	6,9611
25	6,986
26	6,9859
27	6,9859
28	6,986
29	6,8308
30	6,8308
31	6,8308
32	6,8308
33	6,8323
34	6,8323
35	6,8323
36	6,8323
37	10,277
38	10,266
39	10,266
40	10,277
41	10,111
42	10,101
43	10,101
44	10,111
45	8,2404
46	8,2347
47	8,2347
48	8,2404
49	8,0681
50	8,063
51	8,063
52	8,0681
53	16,167
54	15,85
55	15,85
56	16,167
57	19,399
58	19,597
59	19,597
60	19,399
61	8,4198
62	8,4142
63	8,4142
64	8,4198
65	9,119
66	9,1095
67	9,1095
68	9,119
69	7,2996
70	7,2984
71	7,2984
72	7,2996
73	10,058
74	10,041
75	10,041
76	10,058
77	25,886
78	26,124
79	26,124
80	25,886
81	8,0255
82	8,0202
83	8,0202
84	8,0255
85	8,4458
86	8,44
87	8,44
88	8,4458
89	11,526
90	11,494
91	11,494
92	11,526
93	12,724
94	12,679
95	12,679
96	12,724
97	8,606
98	8,5994
99	8,5994
100	8,606
101	11,527
102	11,497
103	11,497
104	11,527
105	25,502
106	23,898
107	23,898
108	25,502
109	13,214
110	13,181
111	13,181
112	13,214
113	5,6193
114	5,6481
115	5,6481
116	5,6193
117	17,256
118	17,003
119	17,003
120	17,256
121	8,4336
122	8,4279
123	8,4279
124	8,4336
125	8,3993
126	8,3938
127	8,3938
128	8,3993
129	8,4471
130	8,4414
131	8,4414
132	8,4471
133	8,4083
134	8,4028
135	8,4028
136	8,4083
137	8,4409
138	8,4353
139	8,4353
140	8,4409
141	8,3435
142	8,3382
143	8,3382
144	8,3435
145	8,465
146	8,4592
147	8,4592
148	8,465
149	8,4002
150	8,3947
151	8,3947
152	8,4002
153	8,3977
154	8,3922
155	8,3922
156	8,3977
157	8,485
158	8,479
159	8,479
160	8,485
161	7,9927
162	7,9888
163	7,9888
164	7,9927
165	8,474
166	8,4681
167	8,4681
168	8,474
169	8,4481
170	8,4424
171	8,4424
172	8,4481
173	8,4112
174	8,4056
175	8,4056
176	8,4112
177	8,2472
178	8,2422
179	8,2422
180	8,2472
181	8,3398
182	8,3345
183	8,3345
184	8,3398
185	8,1559
186	8,1513
187	8,1513
188	8,1559
189	8,2852
190	8,2801
191	8,2801
192	8,2852
193	8,2823
194	8,2773
195	8,2773
