Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent Elastic Strain (mm/mm)
1	-32,447	-4,8575	-0,11647	0,56338
1	-32,447	-4,8575	-0,11647	0,56338
2	-32,447	4,6245	-0,11647	0,5642
2	-32,447	4,6245	-0,11647	0,5642
3	-32,876	-3,9565	-0,11647	0,54425
3	-32,876	-3,9565	-0,11647	0,54425
4	-33,209	-3,0274	-0,11647	0,53958
4	-33,209	-3,0274	-0,11647	0,53958
5	-33,449	-2,0718	-0,11647	0,54471
5	-33,449	-2,0718	-0,11647	0,54471
6	-33,594	-1,0974	-0,11647	0,55205
6	-33,594	-1,0974	-0,11647	0,55205
7	-33,642	-0,11355	-0,11647	0,55453
7	-33,642	-0,11355	-0,11647	0,55453
8	-33,594	0,87028	-0,11647	0,55024
8	-33,594	0,87028	-0,11647	0,55024
9	-33,448	1,8446	-0,11647	0,54384
9	-33,448	1,8446	-0,11647	0,54384
10	-33,208	2,8	-0,11647	0,53948
10	-33,208	2,8	-0,11647	0,53948
11	-32,874	3,7279	-0,11647	0,54537
11	-32,874	3,7279	-0,11647	0,54537
12	-8,8047	-48,765	-0,11647	0,34032
12	-8,8047	-48,765	-0,11647	0,34032
13	-9,2887	-47,866	-0,11647	0,37575
13	-9,2887	-47,866	-0,11647	0,37575
14	-9,779	-46,956	-0,11647	0,40555
14	-9,779	-46,956	-0,11647	0,40555
15	-10,264	-46,055	-0,11647	0,43023
15	-10,264	-46,055	-0,11647	0,43023
16	-10,744	-45,164	-0,11647	0,45261
16	-10,744	-45,164	-0,11647	0,45261
17	-11,242	-44,238	-0,11647	0,47304
17	-11,242	-44,238	-0,11647	0,47304
18	-11,753	-43,29	-0,11647	0,49058
18	-11,753	-43,29	-0,11647	0,49058
19	-12,258	-42,352	-0,11647	0,50413
19	-12,258	-42,352	-0,11647	0,50413
20	-12,764	-41,411	-0,11647	0,51354
20	-12,764	-41,411	-0,11647	0,51354
21	-13,302	-40,412	-0,11647	0,5191
21	-13,302	-40,412	-0,11647	0,5191
22	-13,835	-39,422	-0,11647	0,52116
22	-13,835	-39,422	-0,11647	0,52116
23	-14,323	-38,516	-0,11647	0,52018
23	-14,323	-38,516	-0,11647	0,52018
24	-14,84	-37,557	-0,11647	0,51662
24	-14,84	-37,557	-0,11647	0,51662
25	-15,393	-36,529	-0,11647	0,51102
25	-15,393	-36,529	-0,11647	0,51102
26	-15,915	-35,559	-0,11647	0,50415
26	-15,915	-35,559	-0,11647	0,50415
27	-16,414	-34,634	-0,11647	0,49621
27	-16,414	-34,634	-0,11647	0,49621
28	-16,961	-33,617	-0,11647	0,48709
28	-16,961	-33,617	-0,11647	0,48709
29	-17,519	-32,581	-0,11647	0,47758
29	-17,519	-32,581	-0,11647	0,47758
30	-18,028	-31,637	-0,11647	0,46825
30	-18,028	-31,637	-0,11647	0,46825
31	-18,549	-30,668	-0,11647	0,45888
31	-18,549	-30,668	-0,11647	0,45888
32	-19,089	-29,666	-0,11647	0,44971
32	-19,089	-29,666	-0,11647	0,44971
33	-19,61	-28,698	-0,11647	0,44118
33	-19,61	-28,698	-0,11647	0,44118
34	-20,123	-27,746	-0,11647	0,43334
34	-20,123	-27,746	-0,11647	0,43334
35	-20,644	-26,778	-0,11647	0,42632
35	-20,644	-26,778	-0,11647	0,42632
36	-21,15	-25,838	-0,11647	0,42034
36	-21,15	-25,838	-0,11647	0,42034
37	-21,655	-24,9	-0,11647	0,41533
37	-21,655	-24,9	-0,11647	0,41533
38	-22,179	-23,927	-0,11647	0,41151
38	-22,179	-23,927	-0,11647	0,41151
39	-22,681	-22,994	-0,11647	0,40915
39	-22,681	-22,994	-0,11647	0,40915
40	-23,161	-22,102	-0,11647	0,4081
40	-23,161	-22,102	-0,11647	0,4081
41	-23,667	-21,164	-0,11647	0,40844
41	-23,667	-21,164	-0,11647	0,40844
42	-24,184	-20,203	-0,11647	0,41053
42	-24,184	-20,203	-0,11647	0,41053
43	-24,676	-19,289	-0,11647	0,4143
43	-24,676	-19,289	-0,11647	0,4143
44	-25,163	-18,385	-0,11647	0,41973
44	-25,163	-18,385	-0,11647	0,41973
45	-25,665	-17,452	-0,11647	0,42708
45	-25,665	-17,452	-0,11647	0,42708
46	-26,165	-16,524	-0,11647	0,43645
46	-26,165	-16,524	-0,11647	0,43645
47	-26,649	-15,626	-0,11647	0,44765
47	-26,649	-15,626	-0,11647	0,44765
48	-27,14	-14,714	-0,11647	0,46082
48	-27,14	-14,714	-0,11647	0,46082
49	-27,627	-13,809	-0,11647	0,47602
49	-27,627	-13,809	-0,11647	0,47602
50	-28,111	-12,911	-0,11647	0,49295
50	-28,111	-12,911	-0,11647	0,49295
51	-28,592	-12,018	-0,11647	0,51136
51	-28,592	-12,018	-0,11647	0,51136
52	-29,08	-11,111	-0,11647	0,53068
52	-29,08	-11,111	-0,11647	0,53068
53	-29,56	-10,218	-0,11647	0,54987
53	-29,56	-10,218	-0,11647	0,54987
54	-30,039	-9,3296	-0,11647	0,56758
