Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-32,447	-4,8575	-0,11647	23,918
1	-32,447	-4,8575	-0,11647	23,918
2	-32,447	4,6245	-0,11647	23,979
2	-32,447	4,6245	-0,11647	23,979
3	-32,876	-3,9565	-0,11647	22,319
3	-32,876	-3,9565	-0,11647	22,319
4	-33,209	-3,0274	-0,11647	21,746
4	-33,209	-3,0274	-0,11647	21,746
5	-33,449	-2,0718	-0,11647	21,89
5	-33,449	-2,0718	-0,11647	21,89
6	-33,594	-1,0974	-0,11647	22,174
6	-33,594	-1,0974	-0,11647	22,174
7	-33,642	-0,11355	-0,11647	22,304
7	-33,642	-0,11355	-0,11647	22,304
8	-33,594	0,87028	-0,11647	22,159
8	-33,594	0,87028	-0,11647	22,159
9	-33,448	1,8446	-0,11647	21,892
9	-33,448	1,8446	-0,11647	21,892
10	-33,208	2,8	-0,11647	21,842
10	-33,208	2,8	-0,11647	21,842
11	-32,874	3,7279	-0,11647	22,477
11	-32,874	3,7279	-0,11647	22,477
12	-8,8047	-48,765	-0,11647	10,956
12	-8,8047	-48,765	-0,11647	10,956
13	-9,2887	-47,866	-0,11647	12,591
13	-9,2887	-47,866	-0,11647	12,591
14	-9,779	-46,956	-0,11647	14,062
14	-9,779	-46,956	-0,11647	14,062
15	-10,264	-46,055	-0,11647	15,362
15	-10,264	-46,055	-0,11647	15,362
16	-10,744	-45,164	-0,11647	16,612
16	-10,744	-45,164	-0,11647	16,612
17	-11,242	-44,238	-0,11647	17,819
17	-11,242	-44,238	-0,11647	17,819
18	-11,753	-43,29	-0,11647	18,909
18	-11,753	-43,29	-0,11647	18,909
19	-12,258	-42,352	-0,11647	19,787
19	-12,258	-42,352	-0,11647	19,787
20	-12,764	-41,411	-0,11647	20,415
20	-12,764	-41,411	-0,11647	20,415
21	-13,302	-40,412	-0,11647	20,795
21	-13,302	-40,412	-0,11647	20,795
22	-13,835	-39,422	-0,11647	20,937
22	-13,835	-39,422	-0,11647	20,937
23	-14,323	-38,516	-0,11647	20,87
23	-14,323	-38,516	-0,11647	20,87
24	-14,84	-37,557	-0,11647	20,626
24	-14,84	-37,557	-0,11647	20,626
25	-15,393	-36,529	-0,11647	20,246
25	-15,393	-36,529	-0,11647	20,246
26	-15,915	-35,559	-0,11647	19,789
26	-15,915	-35,559	-0,11647	19,789
27	-16,414	-34,634	-0,11647	19,27
27	-16,414	-34,634	-0,11647	19,27
28	-16,961	-33,617	-0,11647	18,687
28	-16,961	-33,617	-0,11647	18,687
29	-17,519	-32,581	-0,11647	18,095
29	-17,519	-32,581	-0,11647	18,095
30	-18,028	-31,637	-0,11647	17,528
30	-18,028	-31,637	-0,11647	17,528
31	-18,549	-30,668	-0,11647	16,971
31	-18,549	-30,668	-0,11647	16,971
32	-19,089	-29,666	-0,11647	16,439
32	-19,089	-29,666	-0,11647	16,439
33	-19,61	-28,698	-0,11647	15,957
33	-19,61	-28,698	-0,11647	15,957
34	-20,123	-27,746	-0,11647	15,521
34	-20,123	-27,746	-0,11647	15,521
35	-20,644	-26,778	-0,11647	15,139
35	-20,644	-26,778	-0,11647	15,139
36	-21,15	-25,838	-0,11647	14,818
36	-21,15	-25,838	-0,11647	14,818
37	-21,655	-24,9	-0,11647	14,553
37	-21,655	-24,9	-0,11647	14,553
38	-22,179	-23,927	-0,11647	14,353
38	-22,179	-23,927	-0,11647	14,353
39	-22,681	-22,994	-0,11647	14,231
39	-22,681	-22,994	-0,11647	14,231
40	-23,161	-22,102	-0,11647	14,176
40	-23,161	-22,102	-0,11647	14,176
41	-23,667	-21,164	-0,11647	14,192
41	-23,667	-21,164	-0,11647	14,192
42	-24,184	-20,203	-0,11647	14,299
42	-24,184	-20,203	-0,11647	14,299
43	-24,676	-19,289	-0,11647	14,495
43	-24,676	-19,289	-0,11647	14,495
44	-25,163	-18,385	-0,11647	14,78
44	-25,163	-18,385	-0,11647	14,78
45	-25,665	-17,452	-0,11647	15,172
45	-25,665	-17,452	-0,11647	15,172
46	-26,165	-16,524	-0,11647	15,684
46	-26,165	-16,524	-0,11647	15,684
47	-26,649	-15,626	-0,11647	16,312
47	-26,649	-15,626	-0,11647	16,312
48	-27,14	-14,714	-0,11647	17,075
48	-27,14	-14,714	-0,11647	17,075
49	-27,627	-13,809	-0,11647	17,988
49	-27,627	-13,809	-0,11647	17,988
50	-28,111	-12,911	-0,11647	19,051
50	-28,111	-12,911	-0,11647	19,051
51	-28,592	-12,018	-0,11647	20,262
51	-28,592	-12,018	-0,11647	20,262
52	-29,08	-11,111	-0,11647	21,602
52	-29,08	-11,111	-0,11647	21,602
53	-29,56	-10,218	-0,11647	23,007
53	-29,56	-10,218	-0,11647	23,007
54	-30,039	-9,3296	-0,11647	24,372
54	-30,039	-9,3296	-0,11647	24,372
55	-30,521	-8,435	-0,11647	25,55
55	-30,521	-8,435	-0,11647	25,55
56	-31,006	-7,5335	-0,11647	26,346
56	-31,006	-7,5335	-0,11647	26,346
57	-31,486	-6,6426	-0,11647	26,528
57	-31,486	-6,6426	-0,11647	26,528
58	-31,964	-5,7539	-0,11647	25,714
58	-31,964	-5,7539	-0,11647	25,714
59	8,8047	-48,765	-0,11647	10,928
59	8,8047	-48,765	-0,11647	10,928
60	8,2767	-49,636	-0,11647	9,581
60	8,2767	-49,636	-0,11647	9,581
61	7,6553	-50,458	-0,11647	8,7643
61	7,6553	-50,458	-0,11647	8,7643
62	6,9548	-51,209	-0,11647	8,2366
62	6,9548	-51,209	-0,11647	8,2366
63	6,182	-51,884	-0,11647	7,7971
63	6,182	-51,884	-0,11647	7,7971
64	5,3401	-52,479	-0,11647	7,3748
64	5,3401	-52,479	-0,11647	7,3748
65	4,4522	-52,978	-0,11647	7,0103
65	4,4522	-52,978	-0,11647	7,0103
66	3,5152	-53,386	-0,11647	6,748
66	3,5152	-53,386	-0,11647	6,748
67	2,5302	-53,698	-0,11647	6,5555
67	2,5302	-53,698	-0,11647	6,5555
68	1,5229	-53,907	-0,11647	6,4276
68	1,5229	-53,907	-0,11647	6,4276
69	0,50526	-54,011	-0,11647	6,3591
69	0,50526	-54,011	-0,11647	6,3591
70	-0,51473	-54,011	-0,11647	6,3794
70	-0,51473	-54,011	-0,11647	6,3794
71	-1,5323	-53,906	-0,11647	6,4729
71	-1,5323	-53,906	-0,11647	6,4729
72	-2,5395	-53,696	-0,11647	6,6099
72	-2,5395	-53,696	-0,11647	6,6099
73	-3,5241	-53,382	-0,11647	6,8016
73	-3,5241	-53,382	-0,11647	6,8016
74	-4,4605	-52,974	-0,11647	7,0537
74	-4,4605	-52,974	-0,11647	7,0537
75	-5,348	-52,474	-0,11647	7,3597
75	-5,348	-52,474	-0,11647	7,3597
76	-6,1895	-51,878	-0,11647	7,7331
76	-6,1895	-51,878	-0,11647	7,7331
77	-6,9615	-51,203	-0,11647	8,1633
